LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2MWET
37.75,-90.25,2021,1,1,0.83,2.77,0.2,301.3,16.02,50.62,2.27,0.03,0.15,1.65,-0.31
37.75,-89.75,2021,1,1,0.91,2.74,0.21,305.9,17.35,50.38,2.42,0.03,0.16,2.85,0.68
37.75,-89.25,2021,1,1,0.91,2.74,0.21,305.9,17.35,50.38,2.42,0.03,0.16,3.57,1.88
37.75,-88.75,2021,1,1,0.93,2.79,0.22,314.9,17.62,51.51,2.48,0.03,0.17,4.17,3.15
37.75,-88.25,2021,1,1,0.93,2.79,0.22,314.9,17.62,51.51,2.48,0.03,0.17,4.71,4.0
37.75,-87.75,2021,1,1,1.77,2.75,0.41,318.88,33.17,51.25,4.28,0.06,0.3,4.75,4.93
38.25,-90.25,2021,1,1,0.71,2.55,0.17,294.02,13.63,46.43,1.93,0.02,0.12,2.22,-0.79
38.25,-89.75,2021,1,1,0.81,2.56,0.2,298.03,15.38,46.86,2.07,0.02,0.12,3.52,-0.05
38.25,-89.25,2021,1,1,0.81,2.56,0.2,298.03,15.38,46.86,2.07,0.02,0.12,4.46,0.89
38.25,-88.75,2021,1,1,0.66,2.54,0.16,303.73,12.55,46.66,1.71,0.02,0.11,4.97,1.97
38.25,-88.25,2021,1,1,0.66,2.54,0.16,303.73,12.55,46.66,1.71,0.02,0.11,4.98,2.72
38.25,-87.75,2021,1,1,0.71,2.51,0.17,309.1,13.64,46.62,1.89,0.02,0.12,5.09,3.58
38.75,-90.25,2021,1,1,0.71,2.55,0.17,294.02,13.63,46.43,1.93,0.02,0.12,3.19,-1.07
38.75,-89.75,2021,1,1,0.81,2.56,0.2,298.03,15.38,46.86,2.07,0.02,0.12,4.11,-0.54
38.75,-89.25,2021,1,1,0.81,2.56,0.2,298.03,15.38,46.86,2.07,0.02,0.12,4.75,0.06
38.75,-88.75,2021,1,1,0.66,2.54,0.16,303.73,12.55,46.66,1.71,0.02,0.11,4.99,0.79
38.75,-88.25,2021,1,1,0.66,2.54,0.16,303.73,12.55,46.66,1.71,0.02,0.11,4.9,1.4
38.75,-87.75,2021,1,1,0.71,2.51,0.17,309.1,13.64,46.62,1.89,0.02,0.12,4.88,2.04
39.25,-90.25,2021,1,1,0.43,2.4,0.11,287.68,8.28,43.56,1.22,0.02,0.06,3.9,-1.49
39.25,-89.75,2021,1,1,0.56,2.39,0.14,293.96,10.77,43.66,1.53,0.02,0.09,4.28,-1.03
39.25,-89.25,2021,1,1,0.56,2.39,0.14,293.96,10.77,43.66,1.53,0.02,0.09,4.63,-0.6
39.25,-88.75,2021,1,1,0.55,2.39,0.14,296.66,10.53,43.77,1.48,0.02,0.08,4.86,-0.14
39.25,-88.25,2021,1,1,0.55,2.39,0.14,296.66,10.53,43.77,1.48,0.02,0.08,4.76,0.24
39.25,-87.75,2021,1,1,0.54,2.38,0.14,298.44,10.27,44.12,1.43,0.02,0.07,4.64,0.63
39.75,-90.25,2021,1,1,0.43,2.4,0.11,287.68,8.28,43.56,1.22,0.02,0.06,4.33,-2.05
39.75,-89.75,2021,1,1,0.56,2.39,0.14,293.96,10.77,43.66,1.53,0.02,0.09,4.32,-1.54
39.75,-89.25,2021,1,1,0.56,2.39,0.14,293.96,10.77,43.66,1.53,0.02,0.09,4.42,-1.13
39.75,-88.75,2021,1,1,0.55,2.39,0.14,296.66,10.53,43.77,1.48,0.02,0.08,4.54,-0.82
39.75,-88.25,2021,1,1,0.55,2.39,0.14,296.66,10.53,43.77,1.48,0.02,0.08,4.41,-0.62
39.75,-87.75,2021,1,1,0.54,2.38,0.14,298.44,10.27,44.12,1.43,0.02,0.07,4.27,-0.39
40.25,-90.25,2021,1,1,0.67,2.47,0.18,285.92,12.65,45.66,1.7,0.02,0.08,4.87,-2.76
40.25,-89.75,2021,1,1,0.39,2.44,0.1,284.98,7.42,45.23,1.07,0.01,0.05,4.77,-2.23
40.25,-89.25,2021,1,1,0.39,2.44,0.1,284.98,7.42,45.23,1.07,0.01,0.05,4.64,-1.82
40.25,-88.75,2021,1,1,0.4,2.38,0.11,286.59,7.42,43.88,1.03,0.01,0.05,4.44,-1.57
40.25,-88.25,2021,1,1,0.4,2.38,0.11,286.59,7.42,43.88,1.03,0.01,0.05,4.12,-1.39
40.25,-87.75,2021,1,1,0.42,2.38,0.11,289.77,7.76,44.02,1.07,0.01,0.05,3.92,-1.2
40.75,-90.25,2021,1,1,0.67,2.47,0.18,285.92,12.65,45.66,1.7,0.02,0.08,5.15,-3.65
40.75,-89.75,2021,1,1,0.39,2.44,0.1,284.98,7.42,45.23,1.07,0.01,0.05,5.19,-3.09
40.75,-89.25,2021,1,1,0.39,2.44,0.1,284.98,7.42,45.23,1.07,0.01,0.05,5.09,-2.62
40.75,-88.75,2021,1,1,0.4,2.38,0.11,286.59,7.42,43.88,1.03,0.01,0.05,4.79,-2.23
40.75,-88.25,2021,1,1,0.4,2.38,0.11,286.59,7.42,43.88,1.03,0.01,0.05,4.36,-2.05
40.75,-87.75,2021,1,1,0.42,2.38,0.11,289.77,7.76,44.02,1.07,0.01,0.05,4.05,-1.91
41.25,-90.25,2021,1,1,1.01,2.4,0.28,269.02,18.62,44.42,2.21,0.02,0.11,4.94,-4.56
41.25,-89.75,2021,1,1,1.01,2.4,0.28,271.53,18.53,44.52,2.23,0.02,0.1,5.1,-3.91
41.25,-89.25,2021,1,1,1.01,2.4,0.28,271.53,18.53,44.52,2.23,0.02,0.1,5.18,-3.31
41.25,-88.75,2021,1,1,0.55,2.32,0.16,273.88,10.53,42.73,1.41,0.02,0.06,5.03,-2.74
41.25,-88.25,2021,1,1,0.55,2.32,0.16,273.88,10.53,42.73,1.41,0.02,0.06,4.75,-2.39
41.25,-87.75,2021,1,1,0.37,2.26,0.1,281.07,6.95,41.4,0.98,0.01,0.05,4.54,-2.14
41.75,-90.25,2021,1,1,1.01,2.4,0.28,269.02,18.62,44.42,2.21,0.02,0.11,4.46,-5.5
41.75,-89.75,2021,1,1,1.01,2.4,0.28,271.53,18.53,44.52,2.23,0.02,0.1,4.65,-4.74
41.75,-89.25,2021,1,1,1.01,2.4,0.28,271.53,18.53,44.52,2.23,0.02,0.1,4.83,-4.04
41.75,-88.75,2021,1,1,0.55,2.32,0.16,273.88,10.53,42.73,1.41,0.02,0.06,4.86,-3.34
41.75,-88.25,2021,1,1,0.55,2.32,0.16,273.88,10.53,42.73,1.41,0.02,0.06,4.8,-2.64
41.75,-87.75,2021,1,1,0.37,2.26,0.1,281.07,6.95,41.4,0.98,0.01,0.05,5.39,-1.66
42.25,-90.25,2021,1,1,0.87,2.41,0.26,261.05,17.6,44.1,2.41,0.02,0.11,3.92,-6.49
42.25,-89.75,2021,1,1,0.39,2.35,0.12,263.93,7.77,43.19,1.05,0.01,0.05,4.1,-5.67
42.25,-89.25,2021,1,1,0.39,2.35,0.12,263.93,7.77,43.19,1.05,0.01,0.05,4.25,-4.89
42.25,-88.75,2021,1,1,0.33,2.31,0.09,265.77,6.27,42.52,0.91,0.01,0.04,4.31,-4.13
42.25,-88.25,2021,1,1,0.33,2.31,0.09,265.77,6.27,42.52,0.91,0.01,0.04,4.42,-3.06
42.25,-87.75,2021,1,1,0.25,2.27,0.07,274.98,4.76,41.59,0.75,0.01,0.03,5.95,-1.19
37.75,-90.25,2021,1,2,0.89,2.93,0.21,281.41,17.24,52.81,2.45,0.03,0.17,0.6,-2.1
37.75,-89.75,2021,1,2,1.15,2.93,0.27,292.7,22.06,52.68,3.12,0.05,0.21,0.85,-1.45
37.75,-89.25,2021,1,2,1.15,2.93,0.27,292.7,22.06,52.68,3.12,0.05,0.21,0.96,-0.8
37.75,-88.75,2021,1,2,1.29,2.93,0.3,294.93,23.99,52.38,3.33,0.05,0.23,1.05,-0.13
37.75,-88.25,2021,1,2,1.29,2.93,0.3,294.93,23.99,52.38,3.33,0.05,0.23,1.07,0.29
37.75,-87.75,2021,1,2,1.24,2.94,0.29,297.49,23.16,52.38,3.23,0.05,0.23,1.02,0.7
38.25,-90.25,2021,1,2,0.78,2.79,0.19,284.27,15.14,50.45,2.19,0.03,0.14,0.8,-2.34
38.25,-89.75,2021,1,2,0.82,2.8,0.2,291.86,15.73,50.48,2.21,0.03,0.14,1.07,-1.82
38.25,-89.25,2021,1,2,0.82,2.8,0.2,291.86,15.73,50.48,2.21,0.03,0.14,1.23,-1.25
38.25,-88.75,2021,1,2,1.02,2.79,0.25,285.04,19.29,50.14,2.67,0.03,0.17,1.27,-0.59
38.25,-88.25,2021,1,2,1.02,2.79,0.25,285.04,19.29,50.14,2.67,0.03,0.17,1.2,-0.19
38.25,-87.75,2021,1,2,0.93,2.81,0.23,302.05,17.52,50.34,2.47,0.03,0.16,1.18,0.19
38.75,-90.25,2021,1,2,0.78,2.79,0.19,284.27,15.14,50.45,2.19,0.03,0.14,1.18,-2.72
38.75,-89.75,2021,1,2,0.82,2.8,0.2,291.86,15.73,50.48,2.21,0.03,0.14,1.32,-2.14
38.75,-89.25,2021,1,2,0.82,2.8,0.2,291.86,15.73,50.48,2.21,0.03,0.14,1.35,-1.51
38.75,-88.75,2021,1,2,1.02,2.79,0.25,285.04,19.29,50.14,2.67,0.03,0.17,1.28,-0.83
38.75,-88.25,2021,1,2,1.02,2.79,0.25,285.04,19.29,50.14,2.67,0.03,0.17,1.25,-0.42
38.75,-87.75,2021,1,2,0.93,2.81,0.23,302.05,17.52,50.34,2.47,0.03,0.16,1.22,-0.07
39.25,-90.25,2021,1,2,0.8,2.64,0.2,284.95,15.17,47.62,2.12,0.02,0.11,1.58,-3.37
39.25,-89.75,2021,1,2,0.87,2.65,0.22,287.56,16.6,47.76,2.35,0.02,0.12,1.57,-2.57
39.25,-89.25,2021,1,2,0.87,2.65,0.22,287.56,16.6,47.76,2.35,0.02,0.12,1.49,-1.74
39.25,-88.75,2021,1,2,0.87,2.64,0.22,293.34,16.53,47.47,2.29,0.02,0.12,1.4,-1.0
39.25,-88.25,2021,1,2,0.87,2.64,0.22,293.34,16.53,47.47,2.29,0.02,0.12,1.36,-0.64
39.25,-87.75,2021,1,2,0.86,2.65,0.22,292.13,16.3,47.77,2.27,0.02,0.12,1.27,-0.38
39.75,-90.25,2021,1,2,0.8,2.64,0.2,284.95,15.17,47.62,2.12,0.02,0.11,1.82,-4.17
39.75,-89.75,2021,1,2,0.87,2.65,0.22,287.56,16.6,47.76,2.35,0.02,0.12,1.81,-3.25
39.75,-89.25,2021,1,2,0.87,2.65,0.22,287.56,16.6,47.76,2.35,0.02,0.12,1.73,-2.21
39.75,-88.75,2021,1,2,0.87,2.64,0.22,293.34,16.53,47.47,2.29,0.02,0.12,1.67,-1.41
39.75,-88.25,2021,1,2,0.87,2.64,0.22,293.34,16.53,47.47,2.29,0.02,0.12,1.64,-1.07
39.75,-87.75,2021,1,2,0.86,2.65,0.22,292.13,16.3,47.77,2.27,0.02,0.12,1.54,-0.77
40.25,-90.25,2021,1,2,0.77,2.68,0.2,272.79,14.41,47.99,1.94,0.02,0.09,1.92,-5.18
40.25,-89.75,2021,1,2,0.66,2.64,0.17,284.52,12.55,47.59,1.78,0.02,0.09,1.95,-4.28
40.25,-89.25,2021,1,2,0.66,2.64,0.17,284.52,12.55,47.59,1.78,0.02,0.09,1.94,-3.12
40.25,-88.75,2021,1,2,0.76,2.58,0.2,285.93,14.25,46.45,1.99,0.02,0.09,1.91,-2.15
40.25,-88.25,2021,1,2,0.76,2.58,0.2,285.93,14.25,46.45,1.99,0.02,0.09,1.89,-1.67
40.25,-87.75,2021,1,2,0.76,2.58,0.2,293.24,14.38,46.55,2.05,0.02,0.1,1.85,-1.16
40.75,-90.25,2021,1,2,0.77,2.68,0.2,272.79,14.41,47.99,1.94,0.02,0.09,1.9,-6.54
40.75,-89.75,2021,1,2,0.66,2.64,0.17,284.52,12.55,47.59,1.78,0.02,0.09,2.0,-5.57
