"","LAT","LON","Irradiacion","Temperatura"
"1",37.75,-90.25,274.31,0.72
"2",37.75,-89.75,272.325,0.845
"3",37.75,-89.25,272.325,1.11
"4",37.75,-88.75,278.585,1.215
"5",37.75,-88.25,278.585,1.225
"6",37.75,-87.75,278.575,1.01
"7",38.25,-90.25,275.685,0.22
"8",38.25,-89.75,273.815,0.215
"9",38.25,-89.25,273.815,0.505
"10",38.25,-88.75,274.37,0.415
"11",38.25,-88.25,274.37,0.315
"12",38.25,-87.75,276.2,0.29
"13",38.75,-90.25,275.685,-0.24
"14",38.75,-89.75,273.815,-0.355
"15",38.75,-89.25,273.815,-0.335
"16",38.75,-88.75,274.37,-0.21
"17",38.75,-88.25,274.37,-0.35
"18",38.75,-87.75,276.2,-0.405
"19",39.25,-90.25,273.705,-0.645
"20",39.25,-89.75,269.13,-0.815
"21",39.25,-89.25,269.13,-0.815
"22",39.25,-88.75,269.88,-0.925
"23",39.25,-88.25,269.88,-1.01
"24",39.25,-87.75,271.955,-1.1
"25",39.75,-90.25,273.705,-1.07
"26",39.75,-89.75,269.13,-1.215
"27",39.75,-89.25,269.13,-1.295
"28",39.75,-88.75,269.88,-1.4
"29",39.75,-88.25,269.88,-1.555
"30",39.75,-87.75,271.955,-1.615
"31",40.25,-90.25,267.135,-1.65
"32",40.25,-89.75,267.14,-1.73
"33",40.25,-89.25,267.14,-1.825
"34",40.25,-88.75,265.255,-1.85
"35",40.25,-88.25,265.255,-1.945
"36",40.25,-87.75,265.67,-2.035
"37",40.75,-90.25,267.135,-2.31
"38",40.75,-89.75,267.14,-2.255
"39",40.75,-89.25,267.14,-2.415
"40",40.75,-88.75,265.255,-2.305
"41",40.75,-88.25,265.255,-2.36
"42",40.75,-87.75,265.67,-2.5
"43",41.25,-90.25,263.4,-2.975
"44",41.25,-89.75,260.83,-3.05
"45",41.25,-89.25,260.83,-2.995
"46",41.25,-88.75,263.035,-2.73
"47",41.25,-88.25,263.035,-2.685
"48",41.25,-87.75,264.925,-2.49
"49",41.75,-90.25,263.4,-3.96
"50",41.75,-89.75,260.83,-3.76
"51",41.75,-89.25,260.83,-3.68
"52",41.75,-88.75,263.035,-3.22
"53",41.75,-88.25,263.035,-2.805
"54",41.75,-87.75,264.925,-2.025
"55",42.25,-90.25,254.65,-4.455
"56",42.25,-89.75,253.255,-4.345
"57",42.25,-89.25,253.255,-4.135
"58",42.25,-88.75,257.105,-3.875
"59",42.25,-88.25,257.105,-3.195
"60",42.25,-87.75,266.045,-1.835
